creator_id,instagram_handle,review_order
CR-001,@amma.reads.aloud,1
CR-002,@little.lingua.home,2
CR-003,@tamil.tales.with.nila,3
CR-004,@paperboats.and.pongal,4
CR-005,@kleine.tamilwelt,5
CR-006,@coconut.tree.classroom,6
CR-007,@storytime.with.abi,7
CR-008,@two.languages.one.home,8
CR-009,@tiny.tamil.steps,9
CR-010,@bilingual.banyan,10
CR-011,@moonlit.mozhigal,11
CR-012,@chai.and.chapterbooks,12
CR-013,@sprout.and.script,13
CR-014,@the.culture.cubby,14
CR-015,@weekend.with.vani,15
CR-016,@letters.from.lavanya,16
CR-017,@minnow.and.mango,17
CR-018,@paati.story.circle,18
CR-019,@small.world.sahana,19
CR-020,@bookish.kolam,20
CR-021,@tambourine.tamil,21
CR-022,@maple.story.nest,22
CR-023,@tiny.letters.club,23
CR-024,@spice.route.supper,24
CR-025,@bonjour.bilinguals,25
CR-026,@pattu.picturebooks,26
CR-027,@family.canvas.co,27
CR-028,@coastal.craft.days,28
CR-029,@teen.reader.tara,29
CR-030,@tamil.sprout.studio,30
CR-031,@heritage.playroom,31
CR-032,@across.two.homes,32
CR-033,@abi.afterbedtime,33
CR-034,@kural.for.kids,34
CR-035,@little.mango.library,35
CR-036,@weeknight.wordplay,36
CR-037,@pudavai.and.pages,37
CR-038,@kolam.kids.corner,38
CR-039,@mozhi.mornings,39
CR-040,@arun.personal.notes,40
CR-041,@tamil.tots.archive,41
CR-042,@lotus.leaf.learning,42
CR-043,@bilingual.bookbasket,43
CR-044,@paadal.playhouse,44
CR-045,@tokyo.tamil.table,45
CR-046,@storybook.sambar,46
CR-047,@quiet.kutty.corner,47
CR-048,@two.script.stories,48
CR-049,@oldschool.amma,49
CR-050,@rainbow.mozhi.room,50
