source_id,instagram_handle,source_type,observed_date,published_date,profile_visibility,displayed_follower_count,public_location_text,raw_text
SRC-001-P,@amma.reads.aloud,profile,2026-08-06,,Public,18400,"Toronto, Canada","Display name: Meena Arul. Tamil-Canadian mum sharing bilingual books, story time, and gentle learning ideas. Business: hello@synthetic.invalid"
SRC-001-A,@amma.reads.aloud,post,2026-08-06,2026-08-03,,,,"Today we matched Tamil letters with picture cards before bedtime. The little learners asked for another round."
SRC-001-B,@amma.reads.aloud,post,2026-08-06,2026-07-26,,,,"Five bilingual picture books we have kept in our preschool reading basket this month."
SRC-002-P,@little.lingua.home,profile,2026-08-06,,Public,9200,"California, United States","Raising curious multilingual kids through play, books, and everyday conversation. Educational partnerships welcome."
SRC-002-A,@little.lingua.home,post,2026-08-06,2026-07-29,,,,"Our spoken-Tamil breakfast routine: one new word, one question, and lots of repetition."
SRC-002-B,@little.lingua.home,post,2026-08-06,2026-07-21,,,,"A printable library scavenger hunt helped our early reader choose books independently."
SRC-003-P,@tamil.tales.with.nila,profile,2026-08-06,,Public,27100,"London, United Kingdom","Tamil stories, songs, and culture for little learners. Partnership enquiries: studio@synthetic.invalid"
SRC-003-A,@tamil.tales.with.nila,post,2026-08-06,2026-07-18,,,,"A short retelling of the clever crow, followed by five beginner Tamil words from the story."
SRC-003-B,@tamil.tales.with.nila,post,2026-08-06,2026-07-11,,,,"Three picture books for introducing Tamil folktales to children ages three to seven."
SRC-004-P,@paperboats.and.pongal,profile,2026-08-06,,Public,6100,"Melbourne, Australia","Books, crafts, food stories, and bilingual family learning. Media kit available."
SRC-004-A,@paperboats.and.pongal,post,2026-08-06,2026-08-01,,,,"We made paper kolam patterns while learning the Tamil names for four shapes."
SRC-004-B,@paperboats.and.pongal,post,2026-08-06,2026-07-19,,,,"A picture-book activity for talking about Pongal with young children."
SRC-005-P,@kleine.tamilwelt,profile,2026-08-06,,Public,14300,"Berlin, Germany","Tamil and German learning ideas for multicultural families. Open to literacy collaborations."
SRC-005-A,@kleine.tamilwelt,post,2026-08-06,2026-07-25,,,,"Our Tamil-German animal cards are back for a new week of play."
SRC-005-B,@kleine.tamilwelt,post,2026-08-06,2026-07-16,,,,"Reviewing a dual-language board book and the questions it prompted at home."
SRC-006-P,@coconut.tree.classroom,profile,2026-08-06,,Public,33800,"Vancouver, Canada","Early-years educator sharing inclusive classroom books and South Asian learning resources. Sponsored work labelled."
SRC-006-A,@coconut.tree.classroom,post,2026-08-06,2026-07-30,,,,"Our Tamil heritage-week station paired beginner vocabulary with classroom objects."
